PolicyID,CustomerID,PolicyTypeID,RiskLevelID,StartDate,EndDate,CoverageAmount,Deductible,MonthlyPremium
1,1,1,2,2023-01-01,2024-01-01,50000.00,500.00,125.00
2,2,2,1,2023-02-15,2024-02-15,300000.00,1000.00,180.00
3,3,3,3,2023-03-10,2033-03-10,500000.00,0.00,250.00
4,4,4,1,2023-01-01,2023-12-31,1000000.00,2500.00,450.00
5,5,1,3,2023-04-01,2024-04-01,75000.00,750.00,200.00
6,6,2,2,2023-05-20,2024-05-20,250000.00,1500.00,150.00
7,7,5,1,2023-06-01,2023-12-01,10000.00,100.00,30.00
8,8,1,2,2023-07-15,2024-07-15,60000.00,600.00,150.00
9,9,4,4,2023-08-01,2024-08-01,750000.00,3000.00,600.00
10,10,2,2,2023-09-01,2024-09-01,350000.00,1200.00,200.00
11,11,3,2,2023-10-01,2033-10-01,400000.00,0.00,220.00
12,12,4,1,2023-11-15,2024-11-15,1200000.00,2000.00,500.00
13,13,1,3,2023-12-01,2024-12-01,55000.00,550.00,175.00
14,14,2,2,2023-01-15,2024-01-15,280000.00,1100.00,170.00
15,15,5,4,2023-02-01,2023-08-01,15000.00,150.00,50.00
